Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-01-02,34.99,35.94,34.99,35.8,,44700,1590561,,,
2017-01-03,35.9,35.93,35.34,35.48,,70618,2515473,,,
2017-01-04,35.48,35.51,34.75,35.19,,54408,1906810,,,
2017-01-05,35.02,35.2,34.73,35.06,,48412,1692326,,,
2017-01-06,34.91,35.21,34.91,35.04,,27507,964046,,,
2017-01-09,35.29,35.35,34.43,34.67,,62225,2157182,,,
2017-01-10,34.8,34.98,34.46,34.91,,43976,1528055,,,
2017-01-11,34.95,36.0,34.84,35.42,,123530,4369079,,,
2017-01-12,35.38,35.38,34.31,34.9,,163860,5703427,,,
2017-01-13,34.98,34.98,34.6,34.85,,59367,2065534,,,
2017-01-16,34.85,35.24,34.56,35.07,,47879,1678679,,,
2017-01-17,35.06,35.19,34.79,34.99,,39195,1369857,,,
2017-01-18,35.04,35.51,34.8,34.9,,65931,2311608,,,
2017-01-19,35.04,35.04,34.42,34.5,,73105,2526731,,,
2017-01-20,34.54,34.59,34.05,34.17,,80246,2743474,,,
2017-01-23,34.04,34.12,33.62,34.06,,55333,1877957,,,
2017-01-24,34.0,34.35,33.85,34.22,,48797,1666086,,,
2017-01-25,34.42,34.86,34.03,34.83,,56240,1947147,,,
2017-01-26,35.07,35.58,34.8,34.89,,64103,2249375,,,
2017-01-27,34.83,35.43,34.81,35.3,,69657,2444913,,,
2017-01-30,35.38,35.59,34.95,35.15,,69603,2457762,,,
2017-01-31,35.24,35.24,34.56,34.56,,63371,2199583,,,
2017-02-01,34.75,36.0,34.75,35.94,,85137,3038172,,,
2017-02-02,35.95,36.2,35.7,36.07,,54279,1953176,,,
2017-02-03,36.02,36.2,35.73,36.1,,40705,1464712,,,
2017-02-06,36.06,36.15,35.6,35.64,,41911,1496794,,,
2017-02-07,35.56,36.05,35.36,35.89,,67410,2410818,,,
2017-02-08,35.98,36.14,35.84,36.05,,39731,1431205,,,
2017-02-09,36.2,36.25,35.77,36.25,,67781,2445428,,,
2017-02-10,36.65,37.5,36.57,37.06,,115843,4291017,,,
2017-02-13,37.37,39.36,37.35,38.53,,177171,6804028,,,
2017-02-14,38.81,38.86,38.0,38.37,,82601,3163898,,,
2017-02-15,38.5,38.93,38.4,38.72,,77420,2996861,,,
2017-02-16,38.8,39.2,38.25,38.71,,84682,3282322,,,
2017-02-17,38.8,39.03,38.48,39.02,,60583,2352961,,,
2017-02-20,39.25,39.25,38.81,38.98,,37014,1444138,,,
2017-02-21,38.85,39.57,38.85,39.45,,46070,1808350,,,
2017-02-22,39.6,39.75,39.27,39.7,,77619,3066894,,,
2017-02-23,39.72,39.98,39.38,39.79,,81945,3260642,,,
2017-02-24,39.77,40.14,38.91,39.74,,101294,4015150,,,
2017-02-27,39.75,40.64,39.75,40.39,,62655,2520260,,,
2017-02-28,40.38,40.95,40.38,40.84,,67440,2747011,,,
2017-03-01,41.19,41.57,40.9,41.2,,86753,3569796,,,
2017-03-02,41.38,41.39,40.76,41.17,,49863,2048153,,,
2017-03-03,41.12,41.22,40.84,41.18,,40800,1675587,,,
2017-03-06,41.25,41.4,40.81,41.4,,46510,1916799,,,
2017-03-07,41.5,41.8,41.25,41.42,,61925,2569608,,,
2017-03-08,41.13,41.71,40.95,41.68,,45111,1870935,,,
2017-03-09,41.61,41.61,41.16,41.4,,43988,1819182,,,
2017-03-10,41.53,41.53,41.16,41.4,,38518,1592270,,,
2017-03-13,41.4,41.46,41.08,41.3,,44803,1850251,,,
2017-03-14,41.2,41.5,41.2,41.3,,60420,2498025,,,
2017-03-15,41.4,41.5,40.91,41.25,,60324,2488650,,,
2017-03-16,41.4,41.57,41.09,41.46,,55799,2308423,,,
2017-03-17,41.47,41.59,41.16,41.34,,90109,3734232,,,
2017-03-20,41.26,42.17,41.26,41.97,,97572,4074891,,,
2017-03-21,41.8,41.83,40.97,40.98,,56906,2349965,,,
2017-03-22,38.25,39.02,37.53,38.94,,670349,25910543,,,
